#date+time,005-atp
"01-24-2023 0100",17.1
"01-24-2023 0200",17.3
"01-24-2023 0300",17.7
"01-24-2023 0400",17.8
"01-24-2023 0500",18.2
"01-24-2023 0600",18.2
"01-24-2023 0700",18.5
"01-24-2023 0800",18.8
"01-24-2023 0900",18.9
"01-24-2023 1000",18.9
"01-24-2023 1100",19.0
"01-24-2023 1200",19.8
"01-24-2023 1300",20.3
"01-24-2023 1400",20.3
"01-24-2023 1500",20.6
"01-24-2023 1600",21.1
"01-24-2023 1700",21.2
"01-24-2023 1800",21.3
"01-24-2023 1900",22.2
"01-24-2023 2000",21.7
"01-24-2023 2100",16.8
"01-24-2023 2200",15.8
"01-24-2023 2300",16.2
"01-25-2023 0000",16.4
"01-25-2023 0100",16.3
"01-25-2023 0200",15.1
"01-25-2023 0300",15.9
"01-25-2023 0400",17.0
"01-25-2023 0500",16.0
"01-25-2023 0600",14.4
"01-25-2023 0700",13.2
"01-25-2023 0800",12.3
"01-25-2023 0900",11.7
"01-25-2023 1000",11.3
"01-25-2023 1100",10.8
"01-25-2023 1200",10.7
"01-25-2023 1300",10.2
"01-25-2023 1400",9.9
"01-25-2023 1500",9.7
"01-25-2023 1600",10.1
"01-25-2023 1700",10.6
"01-25-2023 1800",11.6
"01-25-2023 1900",12.8
"01-25-2023 2000",14.3
"01-25-2023 2100",15.2
"01-25-2023 2200",15.8
"01-25-2023 2300",16.0
"01-26-2023 0000",15.9
"01-26-2023 0100",14.7
"01-26-2023 0200",14.4
"01-26-2023 0300",13.8
"01-26-2023 0400",13.6
"01-26-2023 0500",13.2
"01-26-2023 0600",12.9
"01-26-2023 0700",11.7
"01-26-2023 0800",11.9
"01-26-2023 0900",11.3
"01-26-2023 1000",11.0
"01-26-2023 1100",10.7
"01-26-2023 1200",9.8
"01-26-2023 1300",9.5
"01-26-2023 1400",9.5
"01-26-2023 1500",9.7
"01-26-2023 1600",9.9
"01-26-2023 1700",10.5
"01-26-2023 1800",10.8
"01-26-2023 1900",11.6
"01-26-2023 2000",12.0
"01-26-2023 2100",11.7
"01-26-2023 2200",11.9
"01-26-2023 2300",12.0
"01-27-2023 0000",12.3
"01-27-2023 0100",12.5
"01-27-2023 0200",12.8
"01-27-2023 0300",13.0
"01-27-2023 0400",13.0
"01-27-2023 0500",12.7
"01-27-2023 0600",12.7
"01-27-2023 0700",12.7
"01-27-2023 0800",12.6
"01-27-2023 0900",12.8
"01-27-2023 1000",12.7
"01-27-2023 1100",12.6
"01-27-2023 1200",12.3
"01-27-2023 1300",12.1
"01-27-2023 1400",12.6
