#date+time,013-atp
"01-25-2022 1800",NA
"01-25-2022 1900",NA
"01-25-2022 2000",NA
"01-25-2022 2100",NA
"01-25-2022 2200",NA
"01-25-2022 2300",NA
"01-26-2022 0000",NA
"01-26-2022 0100",NA
"01-26-2022 0200",NA
"01-26-2022 0300",NA
"01-26-2022 0400",NA
"01-26-2022 0500",NA
"01-26-2022 0600",NA
"01-26-2022 0700",NA
"01-26-2022 0800",NA
"01-26-2022 0900",NA
"01-26-2022 1000",NA
"01-26-2022 1100",NA
"01-26-2022 1200",NA
"01-26-2022 1300",NA
"01-26-2022 1400",NA
"01-26-2022 1500",NA
"01-26-2022 1600",NA
"01-26-2022 1700",NA
"01-26-2022 1800",NA
"01-26-2022 1900",NA
"01-26-2022 2000",NA
"01-26-2022 2100",NA
"01-26-2022 2200",NA
"01-26-2022 2300",NA
"01-27-2022 0000",NA
"01-27-2022 0100",NA
"01-27-2022 0200",NA
"01-27-2022 0300",NA
"01-27-2022 0400",NA
"01-27-2022 0500",NA
"01-27-2022 0600",NA
"01-27-2022 0700",NA
"01-27-2022 0800",NA
"01-27-2022 0900",NA
"01-27-2022 1000",NA
"01-27-2022 1100",NA
"01-27-2022 1200",NA
"01-27-2022 1300",NA
"01-27-2022 1400",NA
"01-27-2022 1500",NA
"01-27-2022 1600",NA
"01-27-2022 1700",12.5
"01-27-2022 1800",12.7
"01-27-2022 1900",13.0
"01-27-2022 2000",13.2
"01-27-2022 2100",14.1
"01-27-2022 2200",14.2
"01-27-2022 2300",14.7
"01-28-2022 0000",15.2
"01-28-2022 0100",15.3
"01-28-2022 0200",15.5
"01-28-2022 0300",15.6
"01-28-2022 0400",15.6
"01-28-2022 0500",15.7
"01-28-2022 0600",15.9
"01-28-2022 0700",NA
"01-28-2022 0800",14.5
"01-28-2022 0900",13.6
"01-28-2022 1000",12.3
"01-28-2022 1100",11.8
"01-28-2022 1200",11.6
"01-28-2022 1300",11.1
"01-28-2022 1400",10.5
"01-28-2022 1500",9.8
"01-28-2022 1600",9.7
"01-28-2022 1700",9.5
"01-28-2022 1800",10.0
"01-28-2022 1900",10.3
"01-28-2022 2000",10.7
"01-28-2022 2100",11.0
"01-28-2022 2200",11.6
"01-28-2022 2300",13.3
"01-29-2022 0000",13.4
"01-29-2022 0100",12.5
"01-29-2022 0200",12.0
"01-29-2022 0300",11.6
"01-29-2022 0400",11.8
"01-29-2022 0500",11.4
"01-29-2022 0600",11.4
"01-29-2022 0700",10.8
"01-29-2022 0800",10.7
"01-29-2022 0900",8.8
"01-29-2022 1000",7.9
"01-29-2022 1100",7.7
"01-29-2022 1200",7.6
"01-29-2022 1300",7.2
"01-29-2022 1400",8.7
"01-29-2022 1500",10.1
"01-29-2022 1600",11.5
"01-29-2022 1700",12.6
"01-29-2022 1800",16.2
"01-29-2022 1900",15.2
"01-29-2022 2000",15.0
"01-29-2022 2100",14.9
"01-29-2022 2200",14.7
"01-29-2022 2300",14.5
"01-30-2022 0000",13.6
"01-30-2022 0100",12.9
"01-30-2022 0200",12.7
"01-30-2022 0300",12.6
"01-30-2022 0400",12.7
"01-30-2022 0500",12.5
"01-30-2022 0600",13.0
"01-30-2022 0700",12.7
"01-30-2022 0800",12.3
"01-30-2022 0900",12.4
"01-30-2022 1000",13.0
"01-30-2022 1100",12.5
"01-30-2022 1200",11.9
"01-30-2022 1300",11.4
"01-30-2022 1400",10.9
"01-30-2022 1500",11.4
"01-30-2022 1600",12.6
"01-30-2022 1700",14.1
"01-30-2022 1800",17.9
"01-30-2022 1900",18.0
"01-30-2022 2000",17.3
"01-30-2022 2100",17.5
"01-30-2022 2200",17.3
"01-30-2022 2300",17.3
"01-31-2022 0000",16.8
"01-31-2022 0100",16.9
"01-31-2022 0200",NA
"01-31-2022 0300",17.5
"01-31-2022 0400",17.4
"01-31-2022 0500",17.5
"01-31-2022 0600",17.2
"01-31-2022 0700",17.4
"01-31-2022 0800",17.5
"01-31-2022 0900",17.6
"01-31-2022 1000",17.4
"01-31-2022 1100",17.4
"01-31-2022 1200",17.1
"01-31-2022 1300",16.8
"01-31-2022 1400",17.4
"01-31-2022 1500",16.6
"01-31-2022 1600",16.7
"01-31-2022 1700",17.1
"01-31-2022 1800",16.9
"01-31-2022 1900",16.8
"01-31-2022 2000",18.7
"01-31-2022 2100",18.8
"01-31-2022 2200",18.7
"01-31-2022 2300",18.6
"02-01-2022 0000",18.4
"02-01-2022 0100",18.1
"02-01-2022 0200",17.8
"02-01-2022 0300",16.7
"02-01-2022 0400",16.1
"02-01-2022 0500",15.4
"02-01-2022 0600",15.3
"02-01-2022 0700",15.0
"02-01-2022 0800",15.0
"02-01-2022 0900",15.2
"02-01-2022 1000",15.1
"02-01-2022 1100",15.0
"02-01-2022 1200",14.9
"02-01-2022 1300",14.7
"02-01-2022 1400",14.5
"02-01-2022 1500",14.7
"02-01-2022 1600",15.5
"02-01-2022 1700",16.4
"02-01-2022 1800",17.5
"02-01-2022 1900",19.0
"02-01-2022 2000",18.0
"02-01-2022 2100",17.3
"02-01-2022 2200",17.3
"02-01-2022 2300",17.4
"02-02-2022 0000",16.5
