#date+time,013-wtp
"02-03-2020 0200",NA
"02-03-2020 0300",NA
"02-03-2020 0400",NA
"02-03-2020 0500",NA
"02-03-2020 0600",NA
"02-03-2020 0700",NA
"02-03-2020 0800",NA
"02-03-2020 0900",NA
"02-03-2020 1000",NA
"02-03-2020 1100",NA
"02-03-2020 1200",NA
"02-03-2020 1300",NA
"02-03-2020 1400",NA
"02-03-2020 1500",NA
"02-03-2020 1600",NA
"02-03-2020 1700",NA
"02-03-2020 1800",NA
"02-03-2020 1900",NA
"02-03-2020 2000",NA
"02-03-2020 2100",NA
"02-03-2020 2200",NA
"02-03-2020 2300",NA
"02-04-2020 0000",NA
"02-04-2020 0100",NA
"02-04-2020 0200",NA
"02-04-2020 0300",NA
"02-04-2020 0400",NA
"02-04-2020 0500",NA
"02-04-2020 0600",NA
"02-04-2020 0700",NA
"02-04-2020 0800",NA
"02-04-2020 0900",NA
"02-04-2020 1000",NA
"02-04-2020 1100",NA
"02-04-2020 1200",NA
"02-04-2020 1300",NA
"02-04-2020 1400",NA
"02-04-2020 1500",NA
"02-04-2020 1600",NA
"02-04-2020 1700",NA
"02-04-2020 1800",NA
"02-04-2020 1900",NA
"02-04-2020 2000",NA
"02-04-2020 2100",NA
"02-04-2020 2200",NA
"02-04-2020 2300",NA
"02-05-2020 0000",NA
"02-05-2020 0100",NA
"02-05-2020 0200",NA
"02-05-2020 0300",NA
"02-05-2020 0400",NA
"02-05-2020 0500",NA
"02-05-2020 0600",NA
"02-05-2020 0700",NA
"02-05-2020 0800",NA
"02-05-2020 0900",NA
"02-05-2020 1000",NA
"02-05-2020 1100",NA
"02-05-2020 1200",NA
"02-05-2020 1300",NA
"02-05-2020 1400",NA
"02-05-2020 1500",NA
"02-05-2020 1600",NA
"02-05-2020 1700",NA
"02-05-2020 1800",NA
"02-05-2020 1900",NA
"02-05-2020 2000",NA
"02-05-2020 2100",NA
"02-05-2020 2200",NA
"02-05-2020 2300",NA
"02-06-2020 0000",NA
"02-06-2020 0100",NA
"02-06-2020 0200",NA
"02-06-2020 0300",NA
"02-06-2020 0400",NA
"02-06-2020 0500",NA
"02-06-2020 0600",NA
"02-06-2020 0700",NA
"02-06-2020 0800",NA
"02-06-2020 0900",NA
"02-06-2020 1000",NA
"02-06-2020 1100",NA
"02-06-2020 1200",NA
"02-06-2020 1300",NA
"02-06-2020 1400",NA
"02-06-2020 1500",NA
"02-06-2020 1600",NA
"02-06-2020 1700",NA
"02-06-2020 1800",NA
"02-06-2020 1900",NA
"02-06-2020 2000",NA
"02-06-2020 2100",NA
"02-06-2020 2200",NA
"02-06-2020 2300",NA
"02-07-2020 0000",NA
"02-07-2020 0100",NA
"02-07-2020 0200",NA
"02-07-2020 0300",NA
"02-07-2020 0400",NA
"02-07-2020 0500",NA
"02-07-2020 0600",NA
"02-07-2020 0700",NA
"02-07-2020 0800",NA
"02-07-2020 0900",NA
"02-07-2020 1000",NA
"02-07-2020 1100",NA
"02-07-2020 1200",NA
"02-07-2020 1300",NA
"02-07-2020 1400",NA
"02-07-2020 1500",NA
"02-07-2020 1600",NA
"02-07-2020 1700",NA
"02-07-2020 1800",NA
"02-07-2020 1900",NA
"02-07-2020 2000",NA
"02-07-2020 2100",NA
"02-07-2020 2200",NA
"02-07-2020 2300",NA
"02-08-2020 0000",NA
"02-08-2020 0100",NA
"02-08-2020 0200",NA
"02-08-2020 0300",NA
"02-08-2020 0400",NA
"02-08-2020 0500",NA
"02-08-2020 0600",NA
"02-08-2020 0700",NA
"02-08-2020 0800",NA
"02-08-2020 0900",NA
"02-08-2020 1000",NA
"02-08-2020 1100",NA
"02-08-2020 1200",NA
"02-08-2020 1300",NA
"02-08-2020 1400",NA
"02-08-2020 1500",NA
"02-08-2020 1600",NA
"02-08-2020 1700",NA
"02-08-2020 1800",NA
"02-08-2020 1900",NA
"02-08-2020 2000",NA
"02-08-2020 2100",NA
"02-08-2020 2200",NA
"02-08-2020 2300",NA
"02-09-2020 0000",NA
"02-09-2020 0100",NA
"02-09-2020 0200",NA
"02-09-2020 0300",NA
"02-09-2020 0400",NA
"02-09-2020 0500",NA
"02-09-2020 0600",NA
"02-09-2020 0700",NA
"02-09-2020 0800",NA
"02-09-2020 0900",NA
"02-09-2020 1000",NA
"02-09-2020 1100",NA
"02-09-2020 1200",NA
"02-09-2020 1300",NA
"02-09-2020 1400",NA
"02-09-2020 1500",NA
"02-09-2020 1600",NA
"02-09-2020 1700",NA
"02-09-2020 1800",NA
"02-09-2020 1900",NA
"02-09-2020 2000",NA
"02-09-2020 2100",NA
"02-09-2020 2200",NA
"02-09-2020 2300",NA
"02-10-2020 0000",NA
"02-10-2020 0100",NA
"02-10-2020 0200",NA
"02-10-2020 0300",NA
"02-10-2020 0400",NA
"02-10-2020 0500",NA
"02-10-2020 0600",NA
"02-10-2020 0700",NA
"02-10-2020 0800",NA
"02-10-2020 0900",NA
"02-10-2020 1000",NA
"02-10-2020 1100",NA
"02-10-2020 1200",NA
"02-10-2020 1300",NA
"02-10-2020 1400",NA
"02-10-2020 1500",NA
"02-10-2020 1600",NA
"02-10-2020 1700",NA
"02-10-2020 1800",NA
"02-10-2020 1900",NA
"02-10-2020 2000",NA
"02-10-2020 2100",NA
"02-10-2020 2200",NA
"02-10-2020 2300",NA
"02-11-2020 0000",NA
"02-11-2020 0100",NA
"02-11-2020 0200",NA
"02-11-2020 0300",NA
"02-11-2020 0400",NA
"02-11-2020 0500",NA
"02-11-2020 0600",NA
"02-11-2020 0700",NA
"02-11-2020 0800",NA
"02-11-2020 0900",NA
"02-11-2020 1000",NA
"02-11-2020 1100",NA
