dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
01-17-2019 1700,15.7,14.8
01-17-2019 1800,15.7,15.1
01-17-2019 1900,16.0,14.8
01-17-2019 2000,17.2,14.9
01-17-2019 2100,17.1,15.4
01-17-2019 2200,18.1,16.0
01-17-2019 2300,17.2,15.5
01-18-2019 0000,16.3,15.5
01-18-2019 0100,16.5,15.4
01-18-2019 0200,16.5,15.4
01-18-2019 0300,16.3,15.4
01-18-2019 0400,16.6,15.2
01-18-2019 0500,17.0,15.2
01-18-2019 0600,17.0,15.3
01-18-2019 0700,17.1,15.2
01-18-2019 0800,17.0,15.3
01-18-2019 0900,16.7,15.3
01-18-2019 1000,16.9,15.4
01-18-2019 1100,16.8,15.4
01-18-2019 1200,16.8,15.3
01-18-2019 1300,17.0,15.3
01-18-2019 1400,17.2,15.4
01-18-2019 1500,18.9,15.3
01-18-2019 1600,19.4,15.5
01-18-2019 1700,19.6,15.6
01-18-2019 1800,20.5,15.9
01-18-2019 1900,19.3,16.1
01-18-2019 2000,18.3,15.9
01-18-2019 2100,18.9,16.0
01-18-2019 2200,19.8,16.2
01-18-2019 2300,19.9,16.5
01-19-2019 0000,19.6,16.5
01-19-2019 0100,19.5,16.5
01-19-2019 0200,20.2,16.6
01-19-2019 0300,18.9,16.6
01-19-2019 0400,19.0,16.6
01-19-2019 0500,19.3,16.6
01-19-2019 0600,18.6,16.6
01-19-2019 0700,18.5,16.6
01-19-2019 0800,18.2,16.6
01-19-2019 0900,18.4,16.6
01-19-2019 1000,19.7,16.7
01-19-2019 1100,19.4,16.8
01-19-2019 1200,19.3,16.7
01-19-2019 1300,18.7,16.6
01-19-2019 1400,16.7,16.4
01-19-2019 1500,15.0,16.3
01-19-2019 1600,13.6,16.2
01-19-2019 1700,13.5,16.0
01-19-2019 1800,13.7,16.1
01-19-2019 1900,14.1,16.2
01-19-2019 2000,14.7,16.5
01-19-2019 2100,15.7,16.5
01-19-2019 2200,16.8,16.4
01-19-2019 2300,17.2,16.3
01-20-2019 0000,16.8,15.9
01-20-2019 0100,15.9,15.6
01-20-2019 0200,15.2,15.4
01-20-2019 0300,14.3,15.7
01-20-2019 0400,13.3,15.3
01-20-2019 0500,11.4,14.9
01-20-2019 0600,10.2,15.2
01-20-2019 0700,10.2,14.6
01-20-2019 0800,9.2,14.3
01-20-2019 0900,8.5,14.1
01-20-2019 1000,7.7,13.7
01-20-2019 1100,6.7,13.5
01-20-2019 1200,6.4,13.3
01-20-2019 1300,5.8,13.2
01-20-2019 1400,6.1,13.0
01-20-2019 1500,5.9,12.6
01-20-2019 1600,6.7,12.3
01-20-2019 1700,7.7,13.1
01-20-2019 1800,8.6,12.7
01-20-2019 1900,9.6,13.4
01-20-2019 2000,11.1,13.2
01-20-2019 2100,10.4,13.0
01-20-2019 2200,10.5,13.3
01-20-2019 2300,10.6,13.5
01-21-2019 0000,10.5,13.4
01-21-2019 0100,10.4,13.1
01-21-2019 0200,10.5,13.0
01-21-2019 0300,11.1,12.5
01-21-2019 0400,11.1,12.5
01-21-2019 0500,11.5,11.9
01-21-2019 0600,12.1,11.8
01-21-2019 0700,12.3,11.7
01-21-2019 0800,12.6,12.3
01-21-2019 0900,12.7,11.9
01-21-2019 1000,13.0,12.4
01-21-2019 1100,13.7,11.8
01-21-2019 1200,13.9,11.5
01-21-2019 1300,14.4,12.3
01-21-2019 1400,15.0,11.6
01-21-2019 1500,15.9,11.9
01-21-2019 1600,16.8,12.5
01-21-2019 1700,17.3,12.9
01-21-2019 1800,18.3,13.6
01-21-2019 1900,18.4,14.2
01-21-2019 2000,18.6,14.7
01-21-2019 2100,18.9,15.3
01-21-2019 2200,18.9,15.6
01-21-2019 2300,18.6,15.5
01-22-2019 0000,18.1,15.4
01-22-2019 0100,17.8,15.2
01-22-2019 0200,17.9,15.1
01-22-2019 0300,17.6,15.0
01-22-2019 0400,17.8,14.9
01-22-2019 0500,17.6,14.9
01-22-2019 0600,17.8,14.8
01-22-2019 0700,18.0,14.8
01-22-2019 0800,17.9,14.9
01-22-2019 0900,18.1,15.0
01-22-2019 1000,17.9,15.1
01-22-2019 1100,18.0,15.0
01-22-2019 1200,18.4,15.0
01-22-2019 1300,18.0,14.8
01-22-2019 1400,18.6,14.7
01-22-2019 1500,19.2,14.7
01-22-2019 1600,19.3,14.9
01-22-2019 1700,19.6,15.3
01-22-2019 1800,20.1,15.8
01-22-2019 1900,20.6,16.4
01-22-2019 2000,20.7,16.8
01-22-2019 2100,20.7,17.3
01-22-2019 2200,20.8,17.6
01-22-2019 2300,20.0,17.7
01-23-2019 0000,19.1,17.6
01-23-2019 0100,19.0,17.5
01-23-2019 0200,18.9,17.4
01-23-2019 0300,19.0,17.4
01-23-2019 0400,19.2,17.4
01-23-2019 0500,18.4,17.3
01-23-2019 0600,17.7,17.3
01-23-2019 0700,17.8,17.3
01-23-2019 0800,17.8,17.3
01-23-2019 0900,11.0,16.8
01-23-2019 1000,9.8,16.3
01-23-2019 1100,8.6,15.9
01-23-2019 1200,7.5,15.3
01-23-2019 1300,7.8,14.9
01-23-2019 1400,7.6,14.6
01-23-2019 1500,7.6,14.8
01-23-2019 1600,8.2,14.7
01-23-2019 1700,8.3,14.8
01-23-2019 1800,8.6,14.9
01-23-2019 1900,9.2,14.9
01-23-2019 2000,9.5,14.7
01-23-2019 2100,10.4,14.5
01-23-2019 2200,11.1,14.4
01-23-2019 2300,12.7,14.2
01-24-2019 0000,13.0,13.9
01-24-2019 0100,12.7,13.6
01-24-2019 0200,12.4,13.6
01-24-2019 0300,12.1,13.4
01-24-2019 0400,11.6,13.0
01-24-2019 0500,11.6,12.7
01-24-2019 0600,11.7,12.4
01-24-2019 0700,11.0,12.8
01-24-2019 0800,11.0,12.9
01-24-2019 0900,10.1,13.0
01-24-2019 1000,7.8,13.1
01-24-2019 1100,7.3,12.9
01-24-2019 1200,8.0,12.0
01-24-2019 1300,7.9,11.9
01-24-2019 1400,8.6,12.6
01-24-2019 1500,9.8,12.8
01-24-2019 1600,10.6,12.8
01-24-2019 1700,13.1,13.4
